"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
2008,Alaska,94,Priv. Construction,157,"20,808","7,212","7,360",34.70%,35.40%
2008,Alaska,94,Priv. Manufacturing,51,"6,634",795,795,12.00%,12.00%
2008,Alaska,94,Private,1657,"209,163","23,392","24,911",11.20%,11.90%
2008,Alaska,94,Public,665,"79,900","44,439","46,424",55.60%,58.10%
2008,Alaska,94,Total,2322,"289,064","67,830","71,335",23.50%,24.70%
2009,Alaska,94,Priv. Construction,129,"17,355","2,896","2,896",16.70%,16.70%
2009,Alaska,94,Priv. Manufacturing,60,"7,336",508,508,6.90%,6.90%
2009,Alaska,94,Private,1689,"211,445","21,725","23,025",10.30%,10.90%
2009,Alaska,94,Public,677,"81,472","43,473","46,140",53.40%,56.60%
2009,Alaska,94,Total,2366,"292,917","65,198","69,165",22.30%,23.60%
2010,Alaska,94,Priv. Construction,125,"17,440","3,731","3,872",21.40%,22.20%
2010,Alaska,94,Priv. Manufacturing,55,"7,349",207,207,2.80%,2.80%
2010,Alaska,94,Private,1633,"216,858","24,313","27,049",11.20%,12.50%
2010,Alaska,94,Public,614,"78,205","43,311","45,994",55.40%,58.80%
2010,Alaska,94,Total,2247,"295,063","67,624","73,043",22.90%,24.80%
2011,Alaska,94,Priv. Construction,122,"18,231","3,883","4,285",21.30%,23.50%
2011,Alaska,94,Priv. Manufacturing,49,"7,118",818,818,11.50%,11.50%
2011,Alaska,94,Private,1579,"224,741","24,655","27,417",11.00%,12.20%
2011,Alaska,94,Public,588,"80,744","42,916","45,233",53.20%,56.00%
2011,Alaska,94,Total,2167,"305,485","67,572","72,650",22.10%,23.80%
2012,Alaska,94,Priv. Construction,101,"14,486","3,157","3,293",21.80%,22.70%
2012,Alaska,94,Priv. Manufacturing,45,"7,149",363,739,5.10%,10.30%
2012,Alaska,94,Private,1466,"216,707","22,293","24,308",10.30%,11.20%
2012,Alaska,94,Public,565,"81,576","44,461","47,081",54.50%,57.70%
2012,Alaska,94,Total,2031,"298,283","66,754","71,390",22.40%,23.90%
2013,Alaska,94,Priv. Construction,111,"17,040","3,800","3,991",22.30%,23.40%
2013,Alaska,94,Priv. Manufacturing,43,"7,161","1,112","1,112",15.50%,15.50%
2013,Alaska,94,Private,1446,"221,888","23,611","25,635",10.60%,11.60%
2013,Alaska,94,Public,566,"84,434","47,081","49,370",55.80%,58.50%
2013,Alaska,94,Total,2012,"306,322","70,692","75,006",23.10%,24.50%
2014,Alaska,94,Priv. Construction,109,"17,417","5,710","5,835",32.80%,33.50%
2014,Alaska,94,Priv. Manufacturing,37,"6,172","1,128","1,128",18.30%,18.30%
2014,Alaska,94,Private,1438,"222,658","24,017","25,875",10.80%,11.60%
2014,Alaska,94,Public,587,"84,627","45,932","48,859",54.30%,57.70%
2014,Alaska,94,Total,2025,"307,285","69,949","74,734",22.80%,24.30%
2015,Alaska,94,Priv. Construction,117,"18,874","5,013","5,202",26.60%,27.60%
2015,Alaska,94,Priv. Manufacturing,63,"10,124",372,563,3.70%,5.60%
2015,Alaska,94,Private,1470,"221,166","24,815","26,750",11.20%,12.10%
2015,Alaska,94,Public,562,"83,372","34,838","39,043",41.80%,46.80%
2015,Alaska,94,Total,2032,"304,538","59,653","65,793",19.60%,21.60%
2016,Alaska,94,Priv. Construction,117,"18,673","4,960","5,095",26.60%,27.30%
2016,Alaska,94,Priv. Manufacturing,63,"9,459",122,122,1.30%,1.30%
2016,Alaska,94,Private,1424,"214,667","21,188","22,631",9.90%,10.50%
2016,Alaska,94,Public,571,"82,341","33,761","36,330",41.00%,44.10%
2016,Alaska,94,Total,1995,"297,008","54,949","58,960",18.50%,19.90%
2017,Alaska,94,Priv. Construction,101,"16,584","3,882","3,882",23.40%,23.40%
2017,Alaska,94,Priv. Manufacturing,44,"6,737", -   , -   ,0.00%,0.00%
2017,Alaska,94,Private,1398,"222,488","19,435","20,590",8.70%,9.30%
2017,Alaska,94,Public,525,"81,539","35,526","38,387",43.60%,47.10%
2017,Alaska,94,Total,1923,"304,027","54,960","58,977",18.10%,19.40%
2018,Alaska,94,Priv. Construction,82,"13,532","3,399","3,399",25.10%,25.10%
2018,Alaska,94,Priv. Manufacturing,43,"6,966",608,608,8.70%,8.70%
2018,Alaska,94,Private,1326,"218,381","19,681","22,180",9.00%,10.20%
2018,Alaska,94,Public,505,"80,593","35,467","37,685",44.00%,46.80%
2018,Alaska,94,Total,1831,"298,974","55,148","59,864",18.40%,20.00%
2019,Alaska,94,Priv. Construction,82,"13,760","2,629","2,629",19.10%,19.10%
2019,Alaska,94,Priv. Manufacturing,41,"6,474",446,757,6.90%,11.70%
2019,Alaska,94,Private,1236,"203,723","17,040","18,771",8.40%,9.20%
2019,Alaska,94,Public,475,"78,630","31,323","34,039",39.80%,43.30%
2019,Alaska,94,Total,1711,"282,353","48,363","52,810",17.10%,18.70%
2020,Alaska,94,Priv. Construction,81,"15,533","3,669","4,142",23.60%,26.70%
2020,Alaska,94,Priv. Manufacturing,29,"5,464",666,666,12.20%,12.20%
2020,Alaska,94,Private,1156,"208,287","19,675","22,095",9.40%,10.60%
2020,Alaska,94,Public,422,"72,083","29,607","32,450",41.10%,45.00%
2020,Alaska,94,Total,1578,"280,370","49,281","54,545",17.60%,19.50%
2021,Alaska,94,Priv. Construction,71,"14,220","3,634","4,523",25.60%,31.80%
2021,Alaska,94,Priv. Manufacturing,45,"9,409",522,522,5.50%,5.50%
2021,Alaska,94,Private,1096,"213,039","15,894","17,834",7.50%,8.40%
2021,Alaska,94,Public,425,"79,439","30,104","32,436",37.90%,40.80%
2021,Alaska,94,Total,1521,"292,478","45,998","50,270",15.70%,17.20%
2022,Alaska,94,Priv. Construction,81,"16,646","4,569","4,569",27.40%,27.40%
2022,Alaska,94,Priv. Manufacturing,34,"7,174",330,330,4.60%,4.60%
2022,Alaska,94,Private,1041,"213,940","19,255","20,632",9.00%,9.60%
2022,Alaska,94,Public,419,"84,787","28,701","31,275",33.90%,36.90%
2022,Alaska,94,Total,1460,"298,727","47,955","51,907",16.10%,17.40%
1983,Arizona,86,Priv. Construction,120,"63,498","16,007","17,572",25.20%,27.70%
1983,Arizona,86,Priv. Manufacturing,301,"157,796","12,350","16,512",7.80%,10.50%
1983,Arizona,86,Private,1812,"914,238","79,001","97,869",8.60%,10.70%
1983,Arizona,86,Public,387,"177,494","45,960","58,542",25.90%,33.00%
1983,Arizona,86,Total,2199,"1,091,732","124,961","156,410",11.40%,14.30%
1984,Arizona,86,Priv. Construction,165,"94,105","14,502","16,326",15.40%,17.30%
1984,Arizona,86,Priv. Manufacturing,304,"169,643","13,100","14,464",7.70%,8.50%
1984,Arizona,86,Private,1757,"989,053","70,748","89,350",7.20%,9.00%
1984,Arizona,86,Public,350,"177,767","35,372","50,641",19.90%,28.50%
1984,Arizona,86,Total,2107,"1,166,820","106,120","139,991",9.10%,12.00%
1985,Arizona,86,Priv. Construction,160,"114,021","22,650","24,960",19.90%,21.90%
1985,Arizona,86,Priv. Manufacturing,274,"188,606","14,666","17,790",7.80%,9.40%
1985,Arizona,86,Private,1473,"1,006,329","79,151","93,566",7.90%,9.30%
1985,Arizona,86,Public,318,"204,463","36,442","52,147",17.80%,25.50%
1985,Arizona,86,Total,1791,"1,210,792","115,593","145,713",9.50%,12.00%
1986,Arizona,86,Priv. Construction,159,"121,161","19,392","19,885",16.00%,16.40%
1986,Arizona,86,Priv. Manufacturing,241,"180,085","8,877","12,903",4.90%,7.20%
1986,Arizona,86,Private,1429,"1,067,804","58,949","71,074",5.50%,6.70%
1986,Arizona,86,Public,315,"228,027","47,374","69,871",20.80%,30.60%
1986,Arizona,86,Total,1744,"1,295,831","106,323","140,945",8.20%,10.90%
1987,Arizona,86,Priv. Construction,152,"120,084","11,672","11,672",9.70%,9.70%
1987,Arizona,86,Priv. Manufacturing,246,"191,855","10,225","14,054",5.30%,7.30%
1987,Arizona,86,Private,1431,"1,103,857","48,594","59,109",4.40%,5.40%
1987,Arizona,86,Public,311,"234,323","33,890","50,923",14.50%,21.70%
1987,Arizona,86,Total,1742,"1,338,180","82,484","110,032",6.20%,8.20%
1988,Arizona,86,Priv. Construction,126,"95,631","13,056","13,798",13.70%,14.40%
1988,Arizona,86,Priv. Manufacturing,256,"191,088","9,396","10,742",4.90%,5.60%
1988,Arizona,86,Private,1539,"1,138,642","55,739","64,245",4.90%,5.60%
1988,Arizona,86,Public,301,"224,800","38,549","53,730",17.10%,23.90%
1988,Arizona,86,Total,1840,"1,363,442","94,288","117,975",6.90%,8.70%
1989,Arizona,86,Priv. Construction,108,"83,476","7,241","7,241",8.70%,8.70%
1989,Arizona,86,Priv. Manufacturing,273,"198,556","13,710","14,266",6.90%,7.20%
1989,Arizona,86,Private,1525,"1,137,777","54,849","63,655",4.80%,5.60%
1989,Arizona,86,Public,328,"249,171","46,380","58,029",18.60%,23.30%
1989,Arizona,86,Total,1853,"1,386,947","101,230","121,685",7.30%,8.80%
1990,Arizona,86,Priv. Construction,96,"80,171","9,306","9,306",11.60%,11.60%
1990,Arizona,86,Priv. Manufacturing,265,"209,944","8,777","9,537",4.20%,4.50%
1990,Arizona,86,Private,1526,"1,224,301","59,461","69,608",4.90%,5.70%
1990,Arizona,86,Public,330,"262,049","55,707","70,047",21.30%,26.70%
1990,Arizona,86,Total,1856,"1,486,350","115,167","139,655",7.70%,9.40%
1991,Arizona,86,Priv. Construction,92,"79,766","8,088","10,042",10.10%,12.60%
1991,Arizona,86,Priv. Manufacturing,228,"191,521","10,226","11,808",5.30%,6.20%
1991,Arizona,86,Private,1406,"1,187,133","58,922","70,952",5.00%,6.00%
1991,Arizona,86,Public,304,"256,339","52,303","70,599",20.40%,27.50%
1991,Arizona,86,Total,1710,"1,443,473","111,225","141,551",7.70%,9.80%
1992,Arizona,86,Priv. Construction,86,"78,293","8,802","9,478",11.20%,12.10%
1992,Arizona,86,Priv. Manufacturing,212,"186,596","4,902","10,392",2.60%,5.60%
1992,Arizona,86,Private,1378,"1,221,933","60,210","79,339",4.90%,6.50%
1992,Arizona,86,Public,292,"252,881","45,402","61,088",18.00%,24.20%
1992,Arizona,86,Total,1670,"1,474,813","105,612","140,427",7.20%,9.50%
1993,Arizona,86,Priv. Construction,103,"98,295","11,395","13,365",11.60%,13.60%
1993,Arizona,86,Priv. Manufacturing,193,"181,713","7,101","8,994",3.90%,4.90%
1993,Arizona,86,Private,1320,"1,211,903","63,588","80,578",5.20%,6.60%
1993,Arizona,86,Public,315,"278,535","49,960","73,610",17.90%,26.40%
1993,Arizona,86,Total,1635,"1,490,438","113,549","154,188",7.60%,10.30%
1994,Arizona,86,Priv. Construction,115,"109,212","8,303","9,363",7.60%,8.60%
1994,Arizona,86,Priv. Manufacturing,211,"185,739","5,318","9,216",2.90%,5.00%
1994,Arizona,86,Private,1447,"1,298,473","64,682","78,974",5.00%,6.10%
1994,Arizona,86,Public,342,"302,469","62,003","82,347",20.50%,27.20%
1994,Arizona,86,Total,1789,"1,600,942","126,685","161,321",7.90%,10.10%
1995,Arizona,86,Priv. Construction,121,"109,771","8,025","8,025",7.30%,7.30%
1995,Arizona,86,Priv. Manufacturing,263,"218,120","10,726","12,399",4.90%,5.70%
1995,Arizona,86,Private,1769,"1,507,241","80,357","93,183",5.30%,6.20%
1995,Arizona,86,Public,363,"302,384","65,115","81,665",21.50%,27.00%
1995,Arizona,86,Total,2132,"1,809,625","145,472","174,848",8.00%,9.70%
1996,Arizona,86,Priv. Construction,151,"129,552","6,728","8,228",5.20%,6.40%
1996,Arizona,86,Priv. Manufacturing,290,"237,800","9,264","13,221",3.90%,5.60%
1996,Arizona,86,Private,1881,"1,545,344","56,582","73,527",3.70%,4.80%
1996,Arizona,86,Public,337,"275,789","50,171","62,333",18.20%,22.60%
1996,Arizona,86,Total,2218,"1,821,133","106,754","135,860",5.90%,7.50%
1997,Arizona,86,Priv. Construction,141,"126,961","14,520","15,359",11.40%,12.10%
1997,Arizona,86,Priv. Manufacturing,275,"239,263","11,747","12,681",4.90%,5.30%
1997,Arizona,86,Private,1851,"1,600,433","78,453","91,004",4.90%,5.70%
1997,Arizona,86,Public,342,"287,098","53,269","64,279",18.60%,22.40%
1997,Arizona,86,Total,2193,"1,887,531","131,722","155,283",7.00%,8.20%
1998,Arizona,86,Priv. Construction,158,"138,279","14,321","15,153",10.40%,11.00%
1998,Arizona,86,Priv. Manufacturing,285,"243,192","10,307","13,755",4.20%,5.70%
1998,Arizona,86,Private,1910,"1,613,520","69,391","82,026",4.30%,5.10%
1998,Arizona,86,Public,347,"284,098","53,848","64,204",19.00%,22.60%
1998,Arizona,86,Total,2257,"1,897,618","123,238","146,230",6.50%,7.70%
1999,Arizona,86,Priv. Construction,175,"147,007","10,809","10,809",7.40%,7.40%
1999,Arizona,86,Priv. Manufacturing,292,"244,925","7,501","9,261",3.10%,3.80%
1999,Arizona,86,Private,2050,"1,727,331","75,893","93,239",4.40%,5.40%
1999,Arizona,86,Public,387,"319,841","61,428","74,859",19.20%,23.40%
1999,Arizona,86,Total,2437,"2,047,172","137,321","168,098",6.70%,8.20%
2000,Arizona,86,Priv. Construction,196,"158,538","8,616","11,571",5.40%,7.30%
2000,Arizona,86,Priv. Manufacturing,291,"236,200","12,283","12,283",5.20%,5.20%
2000,Arizona,86,Private,2088,"1,690,788","71,545","82,714",4.20%,4.90%
2000,Arizona,86,Public,395,"323,771","58,122","65,135",18.00%,20.10%
2000,Arizona,86,Total,2483,"2,014,558","129,667","147,849",6.40%,7.30%
2001,Arizona,86,Priv. Construction,186,"159,249","9,295","9,295",5.80%,5.80%
2001,Arizona,86,Priv. Manufacturing,245,"217,801","7,589","9,276",3.50%,4.30%
2001,Arizona,86,Private,1907,"1,679,985","55,459","62,358",3.30%,3.70%
2001,Arizona,86,Public,434,"379,494","66,313","72,752",17.50%,19.20%
2001,Arizona,86,Total,2341,"2,059,479","121,772","135,109",5.90%,6.60%
2002,Arizona,86,Priv. Construction,174,"149,921","11,048","12,074",7.40%,8.10%
2002,Arizona,86,Priv. Manufacturing,251,"221,697","3,572","5,155",1.60%,2.30%
2002,Arizona,86,Private,1949,"1,718,436","56,522","67,498",3.30%,3.90%
2002,Arizona,86,Public,405,"349,742","58,935","69,435",16.90%,19.90%
2002,Arizona,86,Total,2354,"2,068,177","115,457","136,933",5.60%,6.60%
2003,Arizona,86,Priv. Construction,172,"164,013","10,864","12,805",6.60%,7.80%
2003,Arizona,86,Priv. Manufacturing,232,"217,906","2,483","3,428",1.10%,1.60%
2003,Arizona,86,Private,2020,"1,865,036","62,762","76,578",3.40%,4.10%
2003,Arizona,86,Public,359,"325,733","50,312","63,154",15.40%,19.40%
2003,Arizona,86,Total,2379,"2,190,769","113,074","139,732",5.20%,6.40%
2004,Arizona,86,Priv. Construction,189,"190,790","6,177","7,080",3.20%,3.70%
2004,Arizona,86,Priv. Manufacturing,196,"198,938","7,970","10,267",4.00%,5.20%
2004,Arizona,86,Private,1940,"1,923,383","74,093","91,164",3.90%,4.70%
2004,Arizona,86,Public,413,"399,700","71,206","92,003",17.80%,23.00%
2004,Arizona,86,Total,2353,"2,323,083","145,299","183,167",6.30%,7.90%
2005,Arizona,86,Priv. Construction,217,"231,945","7,019","7,969",3.00%,3.40%
2005,Arizona,86,Priv. Manufacturing,171,"177,817","6,002","7,007",3.40%,3.90%
2005,Arizona,86,Private,1921,"1,999,990","78,289","96,008",3.90%,4.80%
2005,Arizona,86,Public,355,"366,369","66,376","85,467",18.10%,23.30%
2005,Arizona,86,Total,2276,"2,366,360","144,665","181,476",6.10%,7.70%
2006,Arizona,86,Priv. Construction,223,"249,587","11,436","15,737",4.60%,6.30%
2006,Arizona,86,Priv. Manufacturing,195,"214,396","8,108","10,977",3.80%,5.10%
2006,Arizona,86,Private,1983,"2,171,559","95,383","128,385",4.40%,5.90%
2006,Arizona,86,Public,376,"412,437","101,539","121,449",24.60%,29.40%
2006,Arizona,86,Total,2359,"2,583,996","196,922","249,834",7.60%,9.70%
2007,Arizona,86,Priv. Construction,228,"268,316","22,502","23,652",8.40%,8.80%
2007,Arizona,86,Priv. Manufacturing,203,"229,128","16,177","17,289",7.10%,7.50%
2007,Arizona,86,Private,1928,"2,206,668","143,353","154,787",6.50%,7.00%
2007,Arizona,86,Public,369,"412,530","86,217","100,070",20.90%,24.30%
2007,Arizona,86,Total,2297,"2,619,198","229,570","254,858",8.80%,9.70%
2008,Arizona,86,Priv. Construction,166,"210,447","24,272","24,272",11.50%,11.50%
2008,Arizona,86,Priv. Manufacturing,204,"258,568","11,094","12,403",4.30%,4.80%
2008,Arizona,86,Private,1726,"2,198,306","154,344","164,406",7.00%,7.50%
2008,Arizona,86,Public,298,"380,784","73,075","89,541",19.20%,23.50%
2008,Arizona,86,Total,2024,"2,579,091","227,419","253,948",8.80%,9.80%
2009,Arizona,86,Priv. Construction,106,"150,602","5,276","5,276",3.50%,3.50%
2009,Arizona,86,Priv. Manufacturing,169,"232,958","7,876","13,471",3.40%,5.80%
2009,Arizona,86,Private,1543,"2,098,795","76,157","88,503",3.60%,4.20%
2009,Arizona,86,Public,285,"371,840","85,565","105,752",23.00%,28.40%
2009,Arizona,86,Total,1828,"2,470,634","161,722","194,254",6.50%,7.90%
2010,Arizona,86,Priv. Construction,116,"163,760","8,713","10,298",5.30%,6.30%
2010,Arizona,86,Priv. Manufacturing,152,"210,208","4,119","4,119",2.00%,2.00%
2010,Arizona,86,Private,1527,"2,065,530","73,929","86,349",3.60%,4.20%
2010,Arizona,86,Public,333,"441,192","87,060","116,603",19.70%,26.40%
2010,Arizona,86,Total,1860,"2,506,723","160,989","202,952",6.40%,8.10%
2011,Arizona,86,Priv. Construction,103,"139,825","7,282","7,282",5.20%,5.20%
2011,Arizona,86,Priv. Manufacturing,155,"205,643","5,901","7,314",2.90%,3.60%
2011,Arizona,86,Private,1584,"2,100,125","82,821","98,505",3.90%,4.70%
2011,Arizona,86,Public,307,"399,622","66,255","84,658",16.60%,21.20%
2011,Arizona,86,Total,1891,"2,499,746","149,076","183,163",6.00%,7.30%
2012,Arizona,86,Priv. Construction,85,"110,741","3,029","3,029",2.70%,2.70%
2012,Arizona,86,Priv. Manufacturing,148,"187,427","9,485","11,749",5.10%,6.30%
2012,Arizona,86,Private,1617,"2,071,503","65,870","76,644",3.20%,3.70%
2012,Arizona,86,Public,286,"362,321","59,688","82,569",16.50%,22.80%
2012,Arizona,86,Total,1903,"2,433,824","125,557","159,214",5.20%,6.50%
2013,Arizona,86,Priv. Construction,97,"127,729","5,211","5,211",4.10%,4.10%
2013,Arizona,86,Priv. Manufacturing,133,"183,789","5,874","5,874",3.20%,3.20%
2013,Arizona,86,Private,1545,"2,077,424","60,762","66,973",2.90%,3.20%
2013,Arizona,86,Public,287,"377,722","61,103","79,844",16.20%,21.10%
2013,Arizona,86,Total,1832,"2,455,146","121,864","146,816",5.00%,6.00%
2014,Arizona,86,Priv. Construction,116,"141,828","4,680","5,637",3.30%,4.00%
2014,Arizona,86,Priv. Manufacturing,172,"217,324","9,581","10,879",4.40%,5.00%
2014,Arizona,86,Private,1813,"2,221,870","68,468","83,591",3.10%,3.80%
2014,Arizona,86,Public,303,"372,131","68,910","88,879",18.50%,23.90%
2014,Arizona,86,Total,2116,"2,594,000","137,379","172,470",5.30%,6.60%
2015,Arizona,86,Priv. Construction,127,"145,217","9,930","9,930",6.80%,6.80%
2015,Arizona,86,Priv. Manufacturing,203,"219,885","8,740","9,914",4.00%,4.50%
2015,Arizona,86,Private,2110,"2,302,359","75,970","86,271",3.30%,3.70%
2015,Arizona,86,Public,332,"359,064","61,203","76,158",17.00%,21.20%
2015,Arizona,86,Total,2442,"2,661,422","137,173","162,428",5.20%,6.10%
2016,Arizona,86,Priv. Construction,141,"150,775","10,696","12,049",7.10%,8.00%
2016,Arizona,86,Priv. Manufacturing,187,"197,789","4,328","4,328",2.20%,2.20%
2016,Arizona,86,Private,2213,"2,355,463","60,138","77,128",2.60%,3.30%
2016,Arizona,86,Public,342,"372,403","61,659","73,428",16.60%,19.70%
2016,Arizona,86,Total,2555,"2,727,866","121,797","150,556",4.50%,5.50%
2017,Arizona,86,Priv. Construction,134,"163,853","1,921","3,067",1.20%,1.90%
2017,Arizona,86,Priv. Manufacturing,147,"176,397","2,358","2,358",1.30%,1.30%
2017,Arizona,86,Private,2002,"2,403,867","44,232","59,458",1.80%,2.50%
2017,Arizona,86,Public,338,"401,082","67,609","86,336",16.90%,21.50%
2017,Arizona,86,Total,2340,"2,804,949","111,840","145,794",4.00%,5.20%
2018,Arizona,86,Priv. Construction,168,"202,711","4,268","4,268",2.10%,2.10%
2018,Arizona,86,Priv. Manufacturing,186,"220,970","3,467","6,672",1.60%,3.00%
2018,Arizona,86,Private,2086,"2,474,153","60,422","74,709",2.40%,3.00%
2018,Arizona,86,Public,403,"470,520","96,200","116,258",20.40%,24.70%
2018,Arizona,86,Total,2489,"2,944,674","156,622","190,967",5.30%,6.50%
2019,Arizona,86,Priv. Construction,143,"185,853","13,233","13,233",7.10%,7.10%
2019,Arizona,86,Priv. Manufacturing,194,"245,230","7,204","8,530",2.90%,3.50%
2019,Arizona,86,Private,2067,"2,611,286","89,876","112,555",3.40%,4.30%
2019,Arizona,86,Public,339,"416,632","83,936","101,730",20.10%,24.40%
2019,Arizona,86,Total,2406,"3,027,919","173,812","214,285",5.70%,7.10%
2020,Arizona,86,Priv. Construction,162,"221,213","10,514","10,514",4.80%,4.80%
2020,Arizona,86,Priv. Manufacturing,166,"220,995","2,304","3,647",1.00%,1.70%
2020,Arizona,86,Private,1856,"2,493,241","74,345","86,970",3.00%,3.50%
2020,Arizona,86,Public,312,"414,557","80,179","119,697",19.30%,28.90%
2020,Arizona,86,Total,2168,"2,907,798","154,524","206,668",5.30%,7.10%
2021,Arizona,86,Priv. Construction,147,"217,751","12,205","12,205",5.60%,5.60%
2021,Arizona,86,Priv. Manufacturing,172,"256,847","6,036","8,055",2.40%,3.10%
2021,Arizona,86,Private,1853,"2,702,650","81,183","101,024",3.00%,3.70%
2021,Arizona,86,Public,293,"417,245","86,224","107,574",20.70%,25.80%
2021,Arizona,86,Total,2146,"3,119,895","167,407","208,598",5.40%,6.70%
2022,Arizona,86,Priv. Construction,134,"214,031","13,047","13,047",6.10%,6.10%
2022,Arizona,86,Priv. Manufacturing,162,"251,459","3,200","3,200",1.30%,1.30%
2022,Arizona,86,Private,1697,"2,648,468","97,776","109,550",3.70%,4.10%
2022,Arizona,86,Public,265,"408,577","71,066","78,691",17.40%,19.30%
2022,Arizona,86,Total,1962,"3,057,045","168,843","188,241",5.50%,6.20%
1983,Arkansas,71,Priv. Construction,73,"26,873","5,334","5,334",19.80%,19.80%
1983,Arkansas,71,Priv. Manufacturing,513,"188,638","35,326","45,545",18.70%,24.10%
1983,Arkansas,71,Private,1597,"609,682","62,433","76,159",10.20%,12.50%
1983,Arkansas,71,Public,370,"138,663","19,789","27,022",14.30%,19.50%
1983,Arkansas,71,Total,1967,"748,345","82,221","103,180",11.00%,13.80%
